type,word,pos1,stemmed1,polarity
weaksubj,arguments,noun,n,negative
strongsubj,arrogance,noun,n,negative
strongsubj,arrogant,adj,n,negative
strongsubj,arrogant,anypos,y,negative
strongsubj,arrogantly,anypos,n,negative
strongsubj,arrogantly,anypos,y,negative
weaksubj,artificial,adj,n,negative
strongsubj,ashamed,adj,n,negative
strongsubj,asinine,adj,n,negative
strongsubj,asininely,adverb,n,negative
strongsubj,asinininity,noun,n,negative
strongsubj,askance,adverb,n,negative
strongsubj,asperse,verb,y,negative
strongsubj,aspersion,noun,n,negative
strongsubj,aspersions,noun,n,negative
weaksubj,assail,verb,y,negative
strongsubj,assassin,noun,n,negative
weaksubj,assassinate,verb,y,negative
weaksubj,assault,adj,n,negative
weaksubj,assault,noun,n,negative
weaksubj,astray,adj,n,negative
strongsubj,asunder,anypos,n,negative
strongsubj,atrocious,adj,n,negative
strongsubj,atrocities,noun,n,negative
strongsubj,atrocity,noun,n,negative
strongsubj,atrophy,verb,y,negative
weaksubj,attack,noun,n,negative
weaksubj,attack,verb,y,negative
strongsubj,audacious,adj,n,negative
strongsubj,audaciously,anypos,n,negative
strongsubj,audaciousness,noun,n,negative
strongsubj,audacity,noun,n,negative
strongsubj,austere,adj,n,negative
weaksubj,authoritarian,adj,n,negative
strongsubj,autocrat,noun,n,negative
strongsubj,autocratic,adj,n,negative
strongsubj,autocratic,adj,n,negative
strongsubj,autocratic,noun,n,negative
strongsubj,avalanche,adj,n,negative
strongsubj,avalanche,noun,n,negative
strongsubj,avarice,noun,n,negative
strongsubj,avaricious,adj,n,negative
strongsubj,avariciously,adj,n,negative
strongsubj,avenge,verb,y,negative
strongsubj,averse,anypos,n,negative
strongsubj,aversion,noun,n,negative
weaksubj,avoid,verb,y,negative
weaksubj,avoidance,noun,n,negative
strongsubj,awful,adj,n,negative
strongsubj,awful,anypos,n,negative
strongsubj,awfully,anypos,n,negative
strongsubj,awfulness,anypos,y,negative
strongsubj,awfulness,noun,n,negative
strongsubj,awkward,adj,n,negative
strongsubj,awkwardness,noun,n,negative
strongsubj,ax,verb,y,negative
strongsubj,babble,verb,y,negative
strongsubj,backbite,verb,y,negative
strongsubj,backbiting,anypos,n,negative
strongsubj,backward,adj,n,negative
strongsubj,backwardness,noun,n,negative
strongsubj,bad,adj,n,negative
strongsubj,badly,adj,n,negative
strongsubj,baffle,verb,y,negative
strongsubj,baffled,adj,n,negative
strongsubj,bafflement,noun,n,negative
strongsubj,baffling,anypos,n,negative
strongsubj,bait,verb,y,negative
strongsubj,balk,verb,y,negative
strongsubj,banal,adj,n,negative
strongsubj,banal,anypos,y,negative
strongsubj,banalize,verb,y,negative
strongsubj,bane,noun,n,negative
strongsubj,banish,adj,n,negative
strongsubj,banish,verb,y,negative
strongsubj,banishment,noun,n,negative
weaksubj,bankrupt,adj,n,negative
weaksubj,bankrupt,verb,y,negative
weaksubj,bar,verb,y,negative
strongsubj,barbarian,adj,n,negative
strongsubj,barbarian,noun,n,negative
strongsubj,barbaric,adj,n,negative
strongsubj,barbarically,anypos,n,negative
strongsubj,barbarity,adj,n,negative
strongsubj,barbarity,noun,n,negative
strongsubj,barbarous,adj,n,negative
strongsubj,barbarous,anypos,y,negative
strongsubj,barbarously,anypos,n,negative
weaksubj,barely,anypos,y,negative
strongsubj,barren,adj,n,negative
strongsubj,baseless,adj,n,negative
strongsubj,bashful,adj,n,negative
strongsubj,bastard,anypos,y,negative
strongsubj,bastard,noun,n,negative
weaksubj,battered,adj,n,negative
weaksubj,battering,adj,n,negative
weaksubj,battering,noun,n,negative
weaksubj,battle,verb,y,negative
weaksubj,battlefield,noun,n,negative
strongsubj,battleground,adj,n,negative
strongsubj,battleground,noun,n,negative
strongsubj,battlelines,adj,n,negative
strongsubj,battlelines,noun,n,negative
strongsubj,batty,adj,n,negative
weaksubj,bearish,adj,n,negative
strongsubj,beast,adj,n,negative
strongsubj,beast,noun,n,negative
strongsubj,beastly,adj,n,negative
strongsubj,bedlam,noun,n,negative
strongsubj,bedlamite,noun,n,negative
strongsubj,befoul,verb,y,negative
strongsubj,beg,verb,y,negative
weaksubj,beggar,noun,n,negative
strongsubj,beggarly,adj,n,negative
strongsubj,begging,adj,n,negative
strongsubj,begging,noun,n,negative
strongsubj,beguile,verb,y,negative
strongsubj,belabor,verb,y,negative
weaksubj,belated,adj,n,negative
strongsubj,beleaguer,verb,y,negative
strongsubj,belie,verb,y,negative
strongsubj,belittle,verb,y,negative
strongsubj,belittled,adj,n,negative
strongsubj,belittling,anypos,y,negative
strongsubj,bellicose,adj,n,negative
strongsubj,bellicose,noun,n,negative
strongsubj,belligerence,noun,n,negative
strongsubj,belligerent,adj,n,negative
strongsubj,belligerent,anypos,y,negative
strongsubj,belligerently,anypos,n,negative
strongsubj,bemoan,verb,y,negative
strongsubj,bemoaning,adj,n,negative
strongsubj,bemused,adj,n,negative
weaksubj,bent,adj,n,negative
strongsubj,berate,verb,y,negative
strongsubj,bereave,verb,y,negative
strongsubj,bereavement,noun,n,negative
strongsubj,bereft,anypos,n,negative
strongsubj,berserk,adj,n,negative
strongsubj,beseech,verb,y,negative
weaksubj,beset,adj,n,negative
weaksubj,besiege,verb,y,negative
strongsubj,besmirch,verb,y,negative
strongsubj,bestial,adj,n,negative
strongsubj,betray,verb,y,negative
strongsubj,betrayal,noun,n,negative
strongsubj,betrayals,noun,n,negative
strongsubj,betrayer,noun,n,negative
strongsubj,bewail,verb,y,negative
weaksubj,beware,verb,y,negative
strongsubj,bewilder,verb,y,negative
strongsubj,bewildered,adj,n,negative
strongsubj,bewildering,adj,n,negative
strongsubj,bewildering,anypos,n,negative
strongsubj,bewilderingly,anypos,n,negative
strongsubj,bewilderment,noun,n,negative
strongsubj,bewitch,verb,y,negative
strongsubj,bias,adj,n,negative
strongsubj,bias,noun,n,negative
strongsubj,bias,verb,y,negative
strongsubj,biased,adj,n,negative
strongsubj,biased,noun,n,negative
strongsubj,biases,adj,n,negative
strongsubj,biases,noun,n,negative
strongsubj,bicker,verb,y,negative
strongsubj,bickering,anypos,n,negative
weaksubj,bidrigging,adj,n,negative
strongsubj,bitch,verb,y,negative
strongsubj,bitchy,adj,n,negative
strongsubj,biting,adj,n,negative
strongsubj,bitingly,anypos,n,negative
strongsubj,bitter,adj,n,negative
strongsubj,bitterly,anypos,n,negative
strongsubj,bitterness,noun,n,negative
strongsubj,bizarre,adj,n,negative
strongsubj,blab,verb,y,negative
strongsubj,blabber,verb,y,negative
weaksubj,black,adj,n,negative
weaksubj,blackmail,verb,y,negative
strongsubj,blah,anypos,y,negative
strongsubj,blame,adj,n,negative
strongsubj,blame,noun,n,negative
strongsubj,blame,verb,y,negative
strongsubj,blameworthy,adj,n,negative
strongsubj,bland,adj,n,negative
strongsubj,blandish,verb,y,negative
strongsubj,blaspheme,verb,y,negative
strongsubj,blasphemous,adj,n,negative
strongsubj,blasphemous,anypos,y,negative
strongsubj,blasphemy,noun,n,negative
weaksubj,blast,anypos,y,negative
strongsubj,blasted,anypos,y,negative
strongsubj,blatant,adj,n,negative
strongsubj,blatantly,adj,n,negative
strongsubj,blather,verb,y,negative
strongsubj,bleak,adj,n,negative
strongsubj,bleakly,anypos,n,negative
strongsubj,bleakness,noun,n,negative
weaksubj,bleed,verb,y,negative
weaksubj,blemish,noun,n,negative
weaksubj,blemish,verb,y,negative
weaksubj,blind,anypos,n,negative
strongsubj,blinding,adj,n,negative
strongsubj,blinding,anypos,y,negative
strongsubj,blindingly,adj,n,negative
weaksubj,blindness,adj,n,negative
strongsubj,blindside,verb,y,negative
strongsubj,blister,verb,y,negative
strongsubj,blistering,adj,n,negative
strongsubj,bloated,adj,n,negative
weaksubj,block,noun,n,negative
weaksubj,block,verb,y,negative
strongsubj,blockhead,adj,n,negative
weaksubj,blood,noun,n,negative
strongsubj,bloodshed,noun,n,negative
strongsubj,bloodthirsty,adj,n,negative
weaksubj,bloody,adj,n,negative
weaksubj,blow,adj,n,negative
weaksubj,blow,noun,n,negative
strongsubj,blunder,adj,n,negative
strongsubj,blunder,noun,n,negative
strongsubj,blundering,anypos,n,negative
strongsubj,blunders,anypos,n,negative
strongsubj,blunt,adj,n,negative
weaksubj,blur,verb,y,negative
strongsubj,blurt,verb,y,negative
strongsubj,boast,verb,y,negative
strongsubj,boastful,adj,n,negative
strongsubj,boggle,verb,y,negative
strongsubj,bogus,adj,n,negative
strongsubj,boil,verb,y,negative
strongsubj,boiling,adverb,n,negative
strongsubj,boisterous,adj,n,negative
weaksubj,bomb,verb,y,negative
weaksubj,bombard,verb,y,negative
strongsubj,bombardment,adj,n,negative
strongsubj,bombardment,noun,n,negative
strongsubj,bombastic,adj,n,negative
strongsubj,bondage,noun,n,negative
strongsubj,bonkers,adj,n,negative
strongsubj,bonkers,noun,n,negative
strongsubj,bore,verb,y,negative
strongsubj,boredom,noun,n,negative
strongsubj,boring,adj,n,negative
strongsubj,boring,anypos,y,negative
strongsubj,botch,verb,y,negative
strongsubj,bother,noun,n,negative
strongsubj,bother,verb,y,negative
strongsubj,bothersome,adj,n,negative
strongsubj,bowdlerize,verb,y,negative
weaksubj,boycott,adj,n,negative
weaksubj,boycott,noun,n,negative
strongsubj,braggart,anypos,y,negative
strongsubj,braggart,noun,n,negative
strongsubj,bragger,anypos,y,negative
strongsubj,bragger,noun,n,negative
strongsubj,brainwash,verb,y,negative
strongsubj,brash,adj,n,negative
strongsubj,brashly,anypos,n,negative
strongsubj,brashness,noun,n,negative
strongsubj,brat,noun,n,negative
strongsubj,bravado,noun,n,negative
strongsubj,brazen,anypos,n,negative
strongsubj,brazenly,anypos,n,negative
strongsubj,brazenly,anypos,n,negative
strongsubj,brazenness,noun,n,negative
strongsubj,brazenness,noun,n,negative
weaksubj,breach,adj,n,negative
weaksubj,breach,noun,n,negative
weaksubj,break,verb,y,negative
weaksubj,breakdown,verb,y,negative
strongsubj,breakpoint,adj,n,negative
strongsubj,breakpoint,noun,n,negative
strongsubj,brimstone,adj,n,negative
strongsubj,brimstone,noun,n,negative
strongsubj,bristle,verb,y,negative
weaksubj,brittle,adj,n,negative
weaksubj,broke,adj,n,negative
strongsubj,brokenhearted,adj,n,negative
strongsubj,brood,verb,y,negative
strongsubj,browbeat,verb,y,negative
weaksubj,bruise,noun,n,negative
strongsubj,brusque,adj,n,negative
strongsubj,brutal,adj,n,negative
strongsubj,brutalising,adj,n,negative
strongsubj,brutalising,noun,n,negative
strongsubj,brutalities,anypos,n,negative
strongsubj,brutalities,noun,n,negative
strongsubj,brutality,noun,n,negative
strongsubj,brutalize,verb,y,negative
strongsubj,brutalizing,adj,n,negative
strongsubj,brutally,anypos,n,negative
strongsubj,brute,noun,n,negative
strongsubj,brutish,adj,n,negative
weaksubj,buckle,verb,y,negative
weaksubj,bug,verb,y,negative
weaksubj,bulky,adj,n,negative
strongsubj,bullies,adj,n,negative
strongsubj,bullies,noun,n,negative
strongsubj,bully,adj,n,negative
strongsubj,bully,noun,n,negative
strongsubj,bullyingly,anypos,n,negative
weaksubj,bum,noun,n,negative
weaksubj,bumpy,adj,n,negative
strongsubj,bungle,verb,y,negative
strongsubj,bungler,anypos,y,negative
weaksubj,bunk,noun,n,negative
strongsubj,burden,adj,n,negative
strongsubj,burden,noun,n,negative
strongsubj,burdensome,adj,n,negative
strongsubj,burdensome,anypos,y,negative
strongsubj,burdensomely,anypos,y,negative
strongsubj,burn,verb,y,negative
weaksubj,busy,adj,n,negative
strongsubj,busybody,noun,n,negative
weaksubj,butcher,verb,y,negative
strongsubj,butchery,noun,n,negative
strongsubj,byzantine,adj,n,negative
strongsubj,cackle,verb,y,negative
strongsubj,cajole,verb,y,negative
strongsubj,calamities,noun,n,negative
strongsubj,calamitous,adj,n,negative
strongsubj,calamitously,anypos,n,negative
strongsubj,calamity,anypos,y,negative
strongsubj,calamity,noun,n,negative
strongsubj,callous,adj,n,negative
strongsubj,calumniate,verb,y,negative
strongsubj,calumniation,noun,n,negative
strongsubj,calumnies,noun,n,negative
strongsubj,calumnious,adj,n,negative
strongsubj,calumniously,anypos,n,negative
strongsubj,calumny,noun,n,negative
weaksubj,cancer,noun,n,negative
weaksubj,cancerous,adj,n,negative
strongsubj,cannibal,noun,n,negative
strongsubj,cannibalize,verb,y,negative
weaksubj,capitulate,verb,y,negative
strongsubj,capricious,adj,n,negative
strongsubj,capriciously,anypos,n,negative
strongsubj,capriciousness,noun,n,negative
weaksubj,capsize,verb,y,negative
weaksubj,captive,adj,n,negative
strongsubj,careless,adj,n,negative
strongsubj,carelessness,noun,n,negative
strongsubj,caricature,verb,y,negative
strongsubj,carnage,noun,n,negative
strongsubj,carp,verb,y,negative
weaksubj,cartoon,adj,n,negative
weaksubj,cartoon,noun,n,negative
strongsubj,cartoonish,anypos,y,negative
weaksubj,cashstrapped,adj,n,negative
strongsubj,castigate,verb,y,negative
weaksubj,casualty,noun,y,negative
strongsubj,cataclysm,noun,n,negative
strongsubj,cataclysmal,adj,n,negative
strongsubj,cataclysmic,adj,n,negative
strongsubj,cataclysmically,anypos,n,negative
strongsubj,catastrophe,anypos,y,negative
strongsubj,catastrophe,noun,n,negative
strongsubj,catastrophes,noun,n,negative
strongsubj,catastrophic,adj,n,negative
strongsubj,catastrophic,anypos,y,negative
strongsubj,catastrophically,anypos,n,negative
strongsubj,caustic,adj,n,negative
strongsubj,caustically,anypos,n,negative
strongsubj,cautionary,adj,n,negative
weaksubj,cautious,adj,n,negative
weaksubj,cave,verb,y,negative
strongsubj,censure,adj,n,negative
strongsubj,censure,noun,n,negative
strongsubj,censure,verb,y,negative
strongsubj,chafe,verb,y,negative
strongsubj,chaff,verb,y,negative
strongsubj,chagrin,noun,n,negative
strongsubj,chagrin,verb,y,negative
weaksubj,challenge,noun,n,negative
weaksubj,challenge,verb,y,negative
weaksubj,challenging,adj,n,negative
strongsubj,chaos,noun,n,negative
strongsubj,chaotic,adj,n,negative
strongsubj,charisma,noun,n,negative
strongsubj,chasten,verb,y,negative
strongsubj,chastise,verb,y,negative
strongsubj,chastisement,anypos,y,negative
strongsubj,chatter,verb,y,negative
strongsubj,chatterbox,anypos,y,negative
strongsubj,cheap,adj,n,negative
strongsubj,cheapen,verb,y,negative
strongsubj,cheat,noun,n,negative
strongsubj,cheat,verb,y,negative
strongsubj,cheater,anypos,y,negative
strongsubj,cheerless,adj,n,negative
strongsubj,chide,verb,y,negative
strongsubj,childish,adj,n,negative
weaksubj,chill,verb,y,negative
weaksubj,chilly,adj,n,negative
strongsubj,chit,anypos,y,negative
weaksubj,choke,verb,y,negative
weaksubj,choppy,adj,n,negative
weaksubj,chore,noun,n,negative
weaksubj,chronic,adj,n,negative
weaksubj,clamor,noun,n,negative
weaksubj,clamorous,adj,n,negative
weaksubj,clash,adj,n,negative
weaksubj,clash,noun,n,negative
strongsubj,cliche,anypos,n,negative
strongsubj,cliched,anypos,n,negative
weaksubj,clique,noun,n,negative
weaksubj,clog,verb,y,negative
weaksubj,close,adj,n,negative
strongsubj,cloud,verb,y,negative
strongsubj,clumsy,adj,n,negative
weaksubj,coarse,adj,n,negative
strongsubj,cocky,adj,n,negative
strongsubj,coerce,verb,y,negative
strongsubj,coercion,noun,n,negative
strongsubj,coercive,adj,n,negative
weaksubj,cold,adj,n,negative
strongsubj,coldly,adverb,n,negative
weaksubj,collapse,adj,n,negative
weaksubj,collapse,verb,y,negative
weaksubj,collide,verb,y,negative
strongsubj,collude,verb,y,negative
strongsubj,collusion,noun,n,negative
weaksubj,combative,adj,n,negative
weaksubj,comedy,noun,n,negative
weaksubj,comedy,adj,n,negative
weaksubj,comical,adj,n,negative
strongsubj,commiserate,verb,y,negative
weaksubj,commonplace,adj,n,negative
strongsubj,commotion,adj,n,negative
strongsubj,commotion,noun,n,negative
strongsubj,compel,verb,y,negative
strongsubj,complacent,adj,n,negative
strongsubj,complacent,noun,n,negative
strongsubj,complain,verb,y,negative
strongsubj,complaining,adj,n,negative
strongsubj,complaining,noun,n,negative
strongsubj,complaint,noun,n,negative
strongsubj,complaints,adj,n,negative
strongsubj,complaints,noun,n,negative
weaksubj,complex,adj,n,negative
weaksubj,complicate,verb,y,negative
weaksubj,complicated,adj,n,negative
weaksubj,complication,noun,n,negative
strongsubj,complicit,adj,n,negative
strongsubj,compulsion,noun,n,negative
strongsubj,compulsive,adj,n,negative
weaksubj,compulsory,adj,n,negative
strongsubj,concede,verb,y,negative
strongsubj,conceit,noun,n,negative
strongsubj,conceited,adj,n,negative
strongsubj,concern,adj,n,negative
strongsubj,concern,noun,n,negative
weaksubj,concern,verb,y,negative
strongsubj,concerned,anypos,y,negative
strongsubj,concerns,adj,n,negative
strongsubj,concerns,noun,n,negative
weaksubj,concession,adj,n,negative
weaksubj,concession,noun,n,negative
weaksubj,concessions,adj,n,negative
weaksubj,concessions,noun,n,negative
strongsubj,condemn,anypos,y,negative
strongsubj,condemn,verb,y,negative
strongsubj,condemnable,adj,n,negative
strongsubj,condemnation,noun,n,negative
strongsubj,condescend,verb,y,negative
strongsubj,condescending,adj,n,negative
strongsubj,condescendingly,adverb,n,negative
strongsubj,condescension,noun,n,negative
strongsubj,condolence,noun,n,negative
strongsubj,condolences,adj,n,negative
strongsubj,condolences,noun,n,negative
strongsubj,confess,verb,y,negative
strongsubj,confession,noun,n,negative
strongsubj,confessions,adj,n,negative
strongsubj,confessions,noun,n,negative
weaksubj,conflict,adj,n,negative
weaksubj,conflict,noun,n,negative
weaksubj,confound,anypos,y,negative
weaksubj,confound,verb,y,negative
weaksubj,confounded,anypos,y,negative
weaksubj,confounding,anypos,y,negative
weaksubj,confront,verb,y,negative
strongsubj,confrontation,adj,n,negative
strongsubj,confrontation,noun,n,negative
weaksubj,confrontational,adj,n,negative
strongsubj,confuse,verb,y,negative
strongsubj,confused,anypos,y,negative
strongsubj,confusing,adj,n,negative
strongsubj,confusing,anypos,y,negative
strongsubj,confusion,adj,n,negative
strongsubj,confusion,noun,n,negative
weaksubj,congested,adj,n,negative
weaksubj,congestion,noun,n,negative
strongsubj,conspicuous,adj,n,negative
strongsubj,conspicuous,noun,n,negative
strongsubj,conspicuously,anypos,y,negative
weaksubj,conspiracies,adj,n,negative
weaksubj,conspiracies,noun,n,negative
weaksubj,conspiracy,adj,n,negative
weaksubj,conspiracy,noun,n,negative
strongsubj,conspirator,adj,n,negative
