Day of Week,Carrier,Origin,Destination,Delayed
5,RU,BWI,EWR,0
5,RU,DCA,EWR,0
5,DH,IAD,EWR,0
5,RU,IAD,EWR,0
5,CO,DCA,EWR,0
5,RU,BWI,EWR,0
5,MQ,DCA,JFK,0
5,RU,IAD,EWR,0
5,US,DCA,LGA,0
5,CO,DCA,EWR,0
5,MQ,DCA,LGA,0
5,DH,IAD,LGA,0
5,MQ,DCA,LGA,0
5,MQ,DCA,JFK,0
5,RU,IAD,EWR,0
5,DH,IAD,LGA,0
5,DH,IAD,JFK,0
5,DH,IAD,EWR,0
5,DH,IAD,JFK,0
6,MQ,DCA,JFK,0
6,RU,BWI,EWR,0
6,RU,IAD,EWR,0
6,DL,DCA,LGA,0
6,DH,IAD,EWR,0
6,DH,IAD,JFK,0
6,DH,IAD,JFK,0
6,MQ,DCA,LGA,0
6,DH,IAD,JFK,0
6,DH,IAD,EWR,0
6,DL,DCA,JFK,0
6,DL,DCA,JFK,0
6,DL,DCA,JFK,0
6,DL,DCA,JFK,0
6,MQ,DCA,JFK,0
6,DH,DCA,JFK,0
6,DL,DCA,LGA,0
6,DH,IAD,JFK,0
6,DH,IAD,JFK,0
6,DH,IAD,JFK,0
6,DH,IAD,EWR,0
6,DH,IAD,JFK,0
6,DH,IAD,JFK,0
6,DH,IAD,LGA,0
7,MQ,DCA,JFK,0
7,RU,BWI,EWR,1
7,RU,BWI,EWR,0
7,DL,DCA,LGA,0
7,RU,BWI,EWR,0
7,DH,IAD,EWR,0
7,MQ,DCA,LGA,0
7,US,DCA,LGA,0
7,DH,IAD,EWR,0
7,RU,BWI,EWR,0
7,DH,IAD,JFK,0
7,MQ,DCA,LGA,0
7,RU,DCA,EWR,0
7,RU,BWI,EWR,0
7,DL,DCA,JFK,0
7,MQ,DCA,LGA,0
7,DH,IAD,EWR,0
7,DH,IAD,LGA,0
7,MQ,DCA,LGA,0
7,RU,BWI,EWR,0
7,DH,IAD,EWR,0
7,DH,IAD,JFK,0
7,MQ,DCA,JFK,0
7,DH,IAD,LGA,0
7,DL,DCA,JFK,0
7,DH,IAD,JFK,0
7,MQ,DCA,LGA,0
7,MQ,DCA,JFK,0
7,DL,DCA,JFK,0
7,US,DCA,LGA,0
7,RU,IAD,EWR,0
7,DH,IAD,EWR,0
7,MQ,DCA,JFK,0
7,OH,BWI,JFK,0
7,RU,BWI,EWR,0
7,RU,DCA,EWR,0
7,RU,IAD,EWR,0
7,DH,DCA,JFK,0
7,DH,IAD,JFK,0
7,DH,IAD,JFK,0
7,DH,IAD,JFK,0
7,CO,DCA,EWR,0
7,DH,IAD,LGA,0
7,MQ,DCA,LGA,0
7,CO,DCA,EWR,0
7,DH,IAD,LGA,0
7,DL,DCA,LGA,0
7,MQ,DCA,JFK,0
7,RU,IAD,EWR,0
7,DH,IAD,EWR,0
7,DH,IAD,LGA,0
7,DH,IAD,EWR,0
7,MQ,DCA,LGA,0
7,RU,DCA,EWR,0
7,CO,DCA,EWR,0
7,MQ,DCA,LGA,0
7,MQ,DCA,JFK,0
7,MQ,DCA,JFK,0
7,RU,BWI,EWR,0
7,US,DCA,LGA,0
7,RU,IAD,EWR,0
7,DH,IAD,EWR,0
7,RU,DCA,EWR,0
7,DH,IAD,JFK,1
7,DH,IAD,JFK,0
7,DH,IAD,EWR,0
7,DH,IAD,LGA,0
7,RU,DCA,EWR,0
